text,label
delivery of controlled substanc,Drug Trafficking
carrying meth with intention to sell,Drug Trafficking
selling drug by the parking lot,Drug Trafficking
possession of opioid with intent to traffic,Drug Trafficking
charged with making controlled substance for sale,Drug Trafficking
possess cocaine intention to distribute,Drug Trafficking
possess heroin intention to trade,Drug Trafficking
distribution of narcotic drug,Drug Trafficking
possess crack cocaine intention to sell,Drug Trafficking
distributing methamphetamine,Drug Trafficking
accused of manufacturing controlled substanc,Drug Trafficking
under suspicion of illegally smuggling opioid to sell on market,Drug Trafficking
under suspicion of transport of controlled substance,Drug Trafficking
distributing marihuana,Drug Trafficking
under suspicion of found with fentanyl for sale,Drug Trafficking
distribution of opioid,Drug Trafficking
indicted for meth dealing,Drug Trafficking
charged with illegally smuggling illegal substance to sell on market,Drug Trafficking
selling marihuana by the town hall,Drug Trafficking
distributing illegal substance,Drug Trafficking
possession of drugs with intent,Drug Trafficking
planning to sell fentanyl for profit,Drug Trafficking
transporting opioid,Drug Trafficking
selling drugs by the courthouse,Drug Trafficking
possession of drugs with intent to sell,Drug Trafficking
possession of drug with intent,Drug Trafficking
possession of illegal substance with intent,Drug Trafficking
owning marijuana with purpose to distribute,Drug Trafficking
arrested for illegally smuggling marijana to sell on market,Drug Trafficking
trafficking opioid,Drug Trafficking
accused of transport of controlled substance,Drug Trafficking
possessing controlled substance for sale,Drug Trafficking
under suspicion of drug trafficking,Drug Trafficking
distribution of meth,Drug Trafficking
arrested for dealing in cocaine,Drug Trafficking
fentanyl for sale,Drug Trafficking
possession of controlled substanc with intent to distribute,Drug Trafficking
carrying crack cocaine with purpose to deliver,Drug Trafficking
under suspicion of making marijana for sale,Drug Trafficking
carrying controlled substanc for sale at a parking lot,Drug Trafficking
arrested for making marihuana for sale,Drug Trafficking
arrested for making drug for sale,Drug Trafficking
selling cocaine by the library,Drug Trafficking
possess marijuana intention to deliver,Drug Trafficking
planning to sell controlled substanc for profit,Drug Trafficking
under suspicion of using crack cocaine for sale,Drug Trafficking
transporting cannabis,Drug Trafficking
possession of illegal substance with intent to traffic,Drug Trafficking
charged with dealing in marijuana,Drug Trafficking
under suspicion of illegally smuggling controlled substanc to sell on market,Drug Trafficking
distribution of cocaine,Drug Trafficking
distribution of meth,Drug Trafficking
carrying illegal substance with intention to sell,Drug Trafficking
carrying fentanyl for sale at a school zone,Drug Trafficking
under suspicion of manufacturing marihuana,Drug Trafficking
trafficking marijana,Drug Trafficking
possession of opioid with intent to trade,Drug Trafficking
possessing meth for sale,Drug Trafficking
accused of cannabis dealing,Drug Trafficking
trafficking meth,Drug Trafficking
transporting meth,Drug Trafficking
transporting meth,Drug Trafficking
selling of drug,Drug Trafficking
accused of making crack cocaine for sale,Drug Trafficking
charged with illegally smuggling narcotic drug to sell on market,Drug Trafficking
in possession of narcotic drug with purpose to traffic,Drug Trafficking
trafficking opioid,Drug Trafficking
planning to sell controlled substance for profit,Drug Trafficking
possess controlled substanc intention to traffic,Drug Trafficking
accused of carrying heroin for sale,Drug Trafficking
distributing drug,Drug Trafficking
cannabis for delivery,Drug Trafficking
under suspicion of transport of marijana,Drug Trafficking
distributing cannabis,Drug Trafficking
selling meth by the downtown area,Drug Trafficking
distribution of opioid,Drug Trafficking
possession of marihuana with intent,Drug Trafficking
arrested for manufacturing fentanyl,Drug Trafficking
distribution of cannabis,Drug Trafficking
planning to sell opioid for profit,Drug Trafficking
possess narcotic drug intention to deal,Drug Trafficking
possession of heroin with intent,Drug Trafficking
accused of dealing in cocaine,Drug Trafficking
possession of marijuana with intent,Drug Trafficking
accused of manufacturing meth,Drug Trafficking
transporting crack cocaine,Drug Trafficking
planning to sell drugs for profit,Drug Trafficking
possess narcotic drug intention to traffic,Drug Trafficking
possess controlled substance intention to sell,Drug Trafficking
accused of dealing in fentanyl,Drug Trafficking
distributing crack cocaine,Drug Trafficking
arrested for making controlled substance for sale,Drug Trafficking
charged with transport of heroin,Drug Trafficking
distribution of controlled substance,Drug Trafficking
marijana for sale,Drug Trafficking
possess controlled substance intention to sell,Drug Trafficking
transporting cocaine,Drug Trafficking
transport cannabis intent to sell,Drug Trafficking
possession of controlled substance with intent,Drug Trafficking
drug for sale,Drug Trafficking
trafficking narcotic drug,Drug Trafficking
arrested for transport of controlled substanc,Drug Trafficking
accused of transport of drugs,Drug Trafficking
distributing illegal substance,Drug Trafficking
carrying heroin with intention to trade,Drug Trafficking
transporting marijuana,Drug Trafficking
controlled substance for sale,Drug Trafficking
carrying marijuana with intention to distribute,Drug Trafficking
distribution of heroin,Drug Trafficking
transporting opioid,Drug Trafficking
carrying marijana with purpose to deal,Drug Trafficking
selling of marijuana,Drug Trafficking
arrested for making marijana for sale,Drug Trafficking
charged with controlled substance dealing,Drug Trafficking
delivery of fentanyl,Drug Trafficking
under suspicion of dealing in marijana,Drug Trafficking
selling of marihuana,Drug Trafficking
possess illegal substance intention to deal,Drug Trafficking
under suspicion of transport of illegal substance,Drug Trafficking
accused of possessing meth for sale,Drug Trafficking
indicted for illegally smuggling meth to sell on market,Drug Trafficking
carrying illegal substance with intention to sell,Drug Trafficking
transport heroin intent to distribute,Drug Trafficking
possess marihuana intention to distribute,Drug Trafficking
carrying fentanyl with intention to trade,Drug Trafficking
narcotic drug for sale,Drug Trafficking
under suspicion of making drugs for sale,Drug Trafficking
possession of illegal substance with intent,Drug Trafficking
trafficking fentanyl,Drug Trafficking
possess marijana intention to deliver,Drug Trafficking
charged with dealing in controlled substanc,Drug Trafficking
transporting drug,Drug Trafficking
charged with making controlled substanc for sale,Drug Trafficking
distribution of controlled substanc,Drug Trafficking
possession of marijana with intent,Drug Trafficking
carrying drug for sale at a downtown area,Drug Trafficking
charged with illegally smuggling heroin to sell on market,Drug Trafficking
possessing crack cocaine for sale,Drug Trafficking
indicted for manufacturing crack cocaine,Drug Trafficking
charged with marijana dealing,Drug Trafficking
accused of manufacturing illegal substance,Drug Trafficking
planning to sell drug for profit,Drug Trafficking
accused of drug trafficking,Drug Trafficking
possession of opioid with intent to traffic,Drug Trafficking
indicted for controlled substanc dealing,Drug Trafficking
indicted for heroin dealing,Drug Trafficking
using methamphetamine with purpose to distribute,Drug Trafficking
distribution of methamphetamine,Drug Trafficking
transporting cannabis,Drug Trafficking
trafficking methamphetamine,Drug Trafficking
accused of transport of crack cocaine,Drug Trafficking
crack cocaine for delivery,Drug Trafficking
carrying methamphetamine for sale at a shopping street,Drug Trafficking
accused of dealing in marijana,Drug Trafficking
meth for delivery,Drug Trafficking
delivery of illegal substance,Drug Trafficking
selling of heroin,Drug Trafficking
distributing heroin,Drug Trafficking
carrying heroin with intention to deal,Drug Trafficking
accused of found with marijuana for sale,Drug Trafficking
found with drug for sale,Drug Trafficking
charged with drug trafficking,Drug Trafficking
cocaine for delivery,Drug Trafficking
possess narcotic drug intention to deal,Drug Trafficking
cocaine for sale,Drug Trafficking
planning to sell cocaine for profit,Drug Trafficking
charged with manufacturing cannabis,Drug Trafficking
accused of making controlled substance for sale,Drug Trafficking
indicted for illegally smuggling fentanyl to sell on market,Drug Trafficking
planning to sell opioid for profit,Drug Trafficking
in possession of marijana with purpose to deal,Drug Trafficking
charged with using drug for sale,Drug Trafficking
possession of meth with intent to traffic,Drug Trafficking
marihuana for sale,Drug Trafficking
transport marihuana intent to deal,Drug Trafficking
trafficking marijuana,Drug Trafficking
possess marijuana intention to traffic,Drug Trafficking
selling of crack cocaine,Drug Trafficking
under suspicion of having drug for sale,Drug Trafficking
selling fentanyl by the courthouse,Drug Trafficking
distributing opioid,Drug Trafficking
accused of dealing in cannabis,Drug Trafficking
transporting marijuana,Drug Trafficking
charged with illegally smuggling marihuana to sell on market,Drug Trafficking
accused of controlled substance dealing,Drug Trafficking
accused of drug trafficking,Drug Trafficking
having controlled substanc with purpose to deal,Drug Trafficking
arrested for transport of marijuana,Drug Trafficking
possession of controlled substanc with intent,Drug Trafficking
trafficking meth,Drug Trafficking
transport crack cocaine intent to distribute,Drug Trafficking
arrested for drug trafficking,Drug Trafficking
possession of controlled substance with intent to trade,Drug Trafficking
carrying marihuana for sale at a shopping street,Drug Trafficking
accused of illegally smuggling methamphetamine to sell on market,Drug Trafficking
possession of heroin with intent,Drug Trafficking
transport marihuana intent to trade,Drug Trafficking
accused of opioid dealing,Drug Trafficking
carrying fentanyl for sale at a busy area,Drug Trafficking
charged with manufacturing marijana,Drug Trafficking
marijana for delivery,Drug Trafficking
accused of drug trafficking,Drug Trafficking
transport narcotic drug intent to sell,Drug Trafficking
possession of crack cocaine with intent to traffic,Drug Trafficking
carrying narcotic drug with purpose to distribute,Drug Trafficking
distributing marihuana,Drug Trafficking
distribution of marihuana,Drug Trafficking
under suspicion of making illegal substance for sale,Drug Trafficking
accused of illegal substance dealing,Drug Trafficking
possession of marihuana with intent to deal,Drug Trafficking
charged with dealing in marijuana,Drug Trafficking
indicted for dealing in crack cocaine,Drug Trafficking
possession of crack cocaine with intent to distribute,Drug Trafficking
accused of narcotic drug dealing,Drug Trafficking
possession of cannabis with intent to trade,Drug Trafficking
carrying cocaine with intention to deliver,Drug Trafficking
transport meth intent to traffic,Drug Trafficking
carrying controlled substance with intention to distribute,Drug Trafficking
indicted for manufacturing heroin,Drug Trafficking
in possession of cannabis for sale,Drug Trafficking
arrested for manufacturing narcotic drug,Drug Trafficking
trafficking drug,Drug Trafficking
selling of cannabis,Drug Trafficking
cocaine for sale,Drug Trafficking
accused of marihuana dealing,Drug Trafficking
distribution of marihuana,Drug Trafficking
delivery of cannabis,Drug Trafficking
owning marijuana with purpose to deliver,Drug Trafficking
possession of meth with intent to deliver,Drug Trafficking
drug for sale,Drug Trafficking
transporting marijana,Drug Trafficking
possess controlled substanc intention to deal,Drug Trafficking
indicted for dealing in illegal substance,Drug Trafficking
carrying crack cocaine for sale at a apartment,Drug Trafficking
under suspicion of drug trafficking,Drug Trafficking
distributing marijuana,Drug Trafficking
transport marijuana intent to deliver,Drug Trafficking
possessing drug for sale,Drug Trafficking
possession of drug with intent to trade,Drug Trafficking
indicted for illegally smuggling heroin to sell on market,Drug Trafficking
carrying cannabis for sale at a courthouse,Drug Trafficking
delivery of drugs,Drug Trafficking
selling methamphetamine by the courthouse,Drug Trafficking
transporting fentanyl,Drug Trafficking
transporting opioid,Drug Trafficking
arrested for narcotic drug dealing,Drug Trafficking
arrested for drug trafficking,Drug Trafficking
arrested for drug trafficking,Drug Trafficking
possession of drugs with intent to sell,Drug Trafficking
under suspicion of illegally smuggling narcotic drug to sell on market,Drug Trafficking
accused of illegally smuggling drugs to sell on market,Drug Trafficking
transport crack cocaine intent to deliver,Drug Trafficking
accused of making drug for sale,Drug Trafficking
selling of marijuana,Drug Trafficking
arrested for transport of cannabis,Drug Trafficking
transporting heroin,Drug Trafficking
arrested for drug trafficking,Drug Trafficking
in possession of heroin with purpose to traffic,Drug Trafficking
selling drugs by the courthouse,Drug Trafficking
delivery of drug,Drug Trafficking
accused of transport of cocaine,Drug Trafficking
distributing drug,Drug Trafficking
transporting crack cocaine,Drug Trafficking
under suspicion of making meth for sale,Drug Trafficking
opioid for delivery,Drug Trafficking
delivery of marihuana,Drug Trafficking
planning to sell cannabis for profit,Drug Trafficking
transport drug intent to distribute,Drug Trafficking
transporting cocaine,Drug Trafficking
indicted for drug dealing,Drug Trafficking
under suspicion of manufacturing controlled substance,Drug Trafficking
arrested for drug trafficking,Drug Trafficking
distribution of cocaine,Drug Trafficking
distribution of meth,Drug Trafficking
arrested for illegally smuggling opioid to sell on market,Drug Trafficking
planning to sell cocaine for profit,Drug Trafficking
accused of manufacturing cannabis,Drug Trafficking
charged with manufacturing illegal substance,Drug Trafficking
distributing drugs,Drug Trafficking
carrying drugs for sale at a school zone,Drug Trafficking
transport fentanyl intent to deal,Drug Trafficking
arrested for making heroin for sale,Drug Trafficking
arrested for manufacturing marihuana,Drug Trafficking
arrested for manufacturing marijana,Drug Trafficking
selling of fentanyl,Drug Trafficking
possess drugs intention to traffic,Drug Trafficking
distribution of controlled substanc,Drug Trafficking
carrying illegal substance with intention to sell,Drug Trafficking
accused of illegally smuggling cannabis to sell on market,Drug Trafficking
marijuana for sale,Drug Trafficking
carrying heroin with intention to sell,Drug Trafficking
in possession of controlled substance with purpose to deliver,Drug Trafficking
trafficking cannabis,Drug Trafficking
indicted for using drugs for sale,Drug Trafficking
transporting marijana,Drug Trafficking
delivery of narcotic drug,Drug Trafficking
selling of illegal substance,Drug Trafficking
controlled substanc for delivery,Drug Trafficking
possess opioid intention to traffic,Drug Trafficking
possess fentanyl intention to sell,Drug Trafficking
possession of controlled substance with intent,Drug Trafficking
under suspicion of found with drug for sale,Drug Trafficking
indicted for dealing in narcotic drug,Drug Trafficking
possession of controlled substance with intent,Drug Trafficking
charged with drug trafficking,Drug Trafficking
transporting drug,Drug Trafficking
distributing illegal substance,Drug Trafficking
delivery of controlled substance,Drug Trafficking
having marijuana with purpose to deal,Drug Trafficking
meth for delivery,Drug Trafficking
indicted for controlled substanc dealing,Drug Trafficking
in possession of illegal substance with purpose to deliver,Drug Trafficking
planning to sell marijuana for profit,Drug Trafficking
arrested for drug dealing,Drug Trafficking
arrested for drug dealing,Drug Trafficking
indicted for found with narcotic drug for sale,Drug Trafficking
arrested for dealing in marijuana,Drug Trafficking
transporting meth,Drug Trafficking
possession of cannabis with intent to trade,Drug Trafficking
possession of meth with intent to distribute,Drug Trafficking
planning to sell crack cocaine for profit,Drug Trafficking
accused of marijana dealing,Drug Trafficking
charged with methamphetamine dealing,Drug Trafficking
selling cocaine by the downtown area,Drug Trafficking
selling cocaine by the library,Drug Trafficking
possession of crack cocaine with intent to distribute,Drug Trafficking
indicted for drug trafficking,Drug Trafficking
under suspicion of narcotic drug dealing,Drug Trafficking
under suspicion of having cocaine for sale,Drug Trafficking
charged with carrying opioid for sale,Drug Trafficking
carrying marihuana for sale at a shopping street,Drug Trafficking
owning controlled substance with purpose to traffic,Drug Trafficking
selling of controlled substance,Drug Trafficking
indicted for drug trafficking,Drug Trafficking
indicted for found with opioid for sale,Drug Trafficking
trafficking marihuana,Drug Trafficking
indicted for illegally smuggling marihuana to sell on market,Drug Trafficking
carrying fentanyl for sale at a library,Drug Trafficking
carrying marijana with intention to distribute,Drug Trafficking
trafficking crack cocaine,Drug Trafficking
trafficking drug,Drug Trafficking
illegal substance for delivery,Drug Trafficking
possession of controlled substance with intent,Drug Trafficking
carrying controlled substanc for sale at a apartment,Drug Trafficking
transporting controlled substance,Drug Trafficking
transport heroin intent to traffic,Drug Trafficking
distributing controlled substanc,Drug Trafficking
indicted for illegally smuggling drug to sell on market,Drug Trafficking
selling drug by the busy area,Drug Trafficking
possession of meth with intent to traffic,Drug Trafficking
under suspicion of owning opioid for sale,Drug Trafficking
delivery of cannabis,Drug Trafficking
possess opioid intention to traffic,Drug Trafficking
delivery of opioid,Drug Trafficking
accused of owning marihuana for sale,Drug Trafficking
owning crack cocaine for sale,Drug Trafficking
meth for sale,Drug Trafficking
carrying cannabis with intention to deliver,Drug Trafficking
delivery of fentanyl,Drug Trafficking
possess drugs intention to trade,Drug Trafficking
indicted for marijuana dealing,Drug Trafficking
selling of methamphetamine,Drug Trafficking
marihuana for delivery,Drug Trafficking
carrying methamphetamine with intention to sell,Drug Trafficking
marijana for sale,Drug Trafficking
possess cannabis intention to traffic,Drug Trafficking
arrested for illegally smuggling methamphetamine to sell on market,Drug Trafficking
planning to sell marijana for profit,Drug Trafficking
possess heroin intention to sell,Drug Trafficking
found with cocaine for sale,Drug Trafficking
distribution of cannabis,Drug Trafficking
delivery of illegal substance,Drug Trafficking
transport drugs intent to sell,Drug Trafficking
charged with transport of fentanyl,Drug Trafficking
cannabis for sale,Drug Trafficking
charged with manufacturing drug,Drug Trafficking
accused of making illegal substance for sale,Drug Trafficking
selling drug by the shopping street,Drug Trafficking
possess cannabis intention to deal,Drug Trafficking
possession of drugs with intent,Drug Trafficking
carrying drug for sale,Drug Trafficking
in possession of marihuana for sale,Drug Trafficking
possession of marijana with intent,Drug Trafficking
possession of drugs with intent,Drug Trafficking
carrying meth for sale at a public park,Drug Trafficking
transporting drugs,Drug Trafficking
transporting cannabis,Drug Trafficking
possess opioid intention to deal,Drug Trafficking
in possession of marihuana with purpose to trade,Drug Trafficking
distributing opioid,Drug Trafficking
possess marihuana intention to deal,Drug Trafficking
under suspicion of transport of methamphetamine,Drug Trafficking
under suspicion of owning cannabis for sale,Drug Trafficking
trafficking controlled substance,Drug Trafficking
planning to sell fentanyl for profit,Drug Trafficking
possession of drugs with intent to sell,Drug Trafficking
possession of opioid with intent to deal,Drug Trafficking
possession of opioid with intent to deliver,Drug Trafficking
selling of marijana,Drug Trafficking
indicted for possessing narcotic drug for sale,Drug Trafficking
distribution of fentanyl,Drug Trafficking
indicted for dealing in drug,Drug Trafficking
indicted for controlled substanc dealing,Drug Trafficking
under suspicion of making cocaine for sale,Drug Trafficking
charged with transport of methamphetamine,Drug Trafficking
possess marijana intention to deliver,Drug Trafficking
owning controlled substanc for sale,Drug Trafficking
under suspicion of making fentanyl for sale,Drug Trafficking
accused of carrying illegal substance for sale,Drug Trafficking
possess marijuana intention to distribute,Drug Trafficking
distribution of cannabis,Drug Trafficking
arrested for dealing in drugs,Drug Trafficking
charged with using crack cocaine for sale,Drug Trafficking
possession of drugs with intent to traffic,Drug Trafficking
transport marijana intent to sell,Drug Trafficking
selling of drugs,Drug Trafficking
cannabis for sale,Drug Trafficking
charged with in possession of marijuana for sale,Drug Trafficking
cocaine for sale,Drug Trafficking
carrying methamphetamine with purpose to distribute,Drug Trafficking
arrested for possessing cannabis for sale,Drug Trafficking
under suspicion of making marijana for sale,Drug Trafficking
accused of methamphetamine dealing,Drug Trafficking
carrying narcotic drug with intention to deal,Drug Trafficking
planning to sell cannabis for profit,Drug Trafficking
possess methamphetamine intention to sell,Drug Trafficking
owning illegal substance with purpose to deliver,Drug Trafficking
distributing marijuana,Drug Trafficking
distributing controlled substanc,Drug Trafficking
selling cannabis by the school zone,Drug Trafficking
transporting controlled substance,Drug Trafficking
planning to sell meth for profit,Drug Trafficking
planning to sell meth for profit,Drug Trafficking
having cocaine for sale,Drug Trafficking
distributing opioid,Drug Trafficking
under suspicion of drug trafficking,Drug Trafficking
transport crack cocaine intent to distribute,Drug Trafficking
delivery of drug,Drug Trafficking
charged with drug trafficking,Drug Trafficking
transporting methamphetamine,Drug Trafficking
accused of making crack cocaine for sale,Drug Trafficking
meth for delivery,Drug Trafficking
indicted for possessing marihuana for sale,Drug Trafficking
possession of cannabis with intent to deliver,Drug Trafficking
charged with drug trafficking,Drug Trafficking
selling illegal substance by the school zone,Drug Trafficking
selling methamphetamine by the town hall,Drug Trafficking
distributing crack cocaine,Drug Trafficking
trafficking controlled substance,Drug Trafficking
transporting cocaine,Drug Trafficking
charged with manufacturing controlled substanc,Drug Trafficking
possession of meth with intent to sell,Drug Trafficking
charged with found with crack cocaine for sale,Drug Trafficking
transporting cannabis,Drug Trafficking
possess controlled substanc intention to deal,Drug Trafficking
accused of controlled substanc dealing,Drug Trafficking
delivery of meth,Drug Trafficking
charged with illegally smuggling marihuana to sell on market,Drug Trafficking
transporting opioid,Drug Trafficking
transporting drug,Drug Trafficking
planning to sell meth for profit,Drug Trafficking
planning to sell heroin for profit,Drug Trafficking
arrested for drug trafficking,Drug Trafficking
charged with drug trafficking,Drug Trafficking
accused of illegally smuggling drug to sell on market,Drug Trafficking
arrested for making marijuana for sale,Drug Trafficking
